num,1,2,3,4,label
1,0.0007,-0.0008,0.003,0,1
2,-0.0008,-0.0015,0.0022,0.0007,1
3,-0.0008,-0.003,0,0,1
4,0.0015,-0.0015,-0.003,0,1
5,0.0015,-0.0008,-0.0053,-0.0015,1
6,0.0045,0,-0.0068,-0.0015,1
7,0.0067,0.0007,-0.012,-0.003,1
8,0.0052,0.003,-0.0105,-0.0015,1
9,0.0045,0.0015,-0.0053,-0.0008,1
10,0.0007,0.0007,-0.0008,-0.0015,1
11,0.0007,-0.0008,-0.0008,-0.0015,1
12,0,-0.0008,0.0022,-0.0008,1
13,0.0015,0,0.0022,0.0015,1
14,0.0015,0,0.0045,0.0015,1
15,0.0007,-0.0008,0.0052,0.0015,1
16,0.0015,-0.0008,0.006,0.0022,1
17,-0.0046,-0.0015,0.0105,0.0015,1
18,-0.0038,-0.003,0.0082,0.0007,1
19,-0.0015,-0.0008,0.003,0,1
20,-0.0015,0.0007,-0.0008,-0.0015,1
21,-0.0015,0.0007,-0.006,-0.0023,1
22,-0.0008,0.0022,-0.0075,-0.0015,1
23,0.0045,0.003,-0.0105,-0.0015,1
24,0.0075,0.003,-0.0091,-0.0015,1
25,0.0082,0.0007,-0.0083,-0.0015,1
26,0.003,0,-0.0068,-0.0008,1
27,-0.0008,0.0007,-0.0015,0.0015,1
28,-0.0015,-0.0008,0.0015,0.0015,1
29,-0.003,0,0.0022,-0.0008,1
30,-0.0008,-0.0015,0.003,-0.0008,1
31,-0.0015,0,0.003,0,1
32,-0.003,0.0007,0.0045,0.0007,1
33,-0.0015,-0.0015,0.0067,0.0015,1
34,-0.0015,-0.0008,0.0082,0.003,1
35,-0.003,-0.0023,0.0067,0.003,1
36,-0.0015,-0.0015,0.0015,0.0015,1
37,-0.0015,-0.0008,-0.0015,0.0007,1
38,-0.0008,0.0007,-0.0038,-0.0015,1
39,0.003,0.0015,-0.006,-0.003,1
40,0.0075,0,-0.0083,-0.0038,1
41,0.009,-0.0008,-0.0053,-0.0038,1
42,0.0045,-0.0008,-0.003,-0.0015,1
43,0.0015,0.0007,0,0,1
44,0,-0.0008,0.0015,0.0007,1
45,0,-0.0015,-0.0008,0,1
46,-0.0015,0,0.0007,0.0007,1
47,-0.003,-0.0008,0.0015,0,1
48,-0.0015,-0.0015,0.0037,0,1
49,0.0007,-0.003,0.0082,0.0007,1
50,-0.0008,-0.0023,0.009,0.0015,1
51,-0.0008,-0.0008,0.009,0.0015,1
52,0,-0.0008,0.006,0.0015,1
53,0.003,0,0.003,0.0007,1
54,0.0045,0.0015,-0.0008,-0.0015,1
55,0.0022,0,-0.0046,-0.0023,1
56,0.0052,0.0007,-0.0075,-0.0015,1
57,0.0082,0.0007,-0.0098,-0.0046,1
58,0.003,0,-0.0091,-0.0023,1
59,0.0007,0.0007,-0.0053,-0.0015,1
60,-0.0008,-0.0015,0.0007,-0.0023,1
61,-0.0015,-0.0008,0.0015,-0.0008,1
62,-0.0008,0.0015,0.003,0.0007,1
63,-0.0008,-0.0023,0.0022,0.0007,1
64,-0.0015,-0.0015,0.0022,0.0007,1
65,0.0007,-0.0008,0.003,0.0007,1
66,0.0007,0.0007,0.0052,-0.0008,1
67,-0.003,-0.0008,0.0082,0.0007,1
68,-0.0053,-0.0015,0.0075,-0.0008,1
69,-0.0046,-0.0008,0.0045,-0.0015,1
70,-0.003,-0.0008,0,0.0007,1
71,0.0015,-0.0008,-0.0015,-0.0015,1
72,0.003,0,-0.006,-0.003,1
73,0.0015,0.0015,-0.0075,-0.003,1
74,0.0022,0.003,-0.0075,-0.0023,1
75,0.0007,0.0015,-0.006,-0.0008,1
76,0.0007,0.0007,0.0007,-0.0008,1
77,-0.0023,0,0.0007,0,1
78,-0.0015,0,0.0015,-0.0015,1
79,-0.0023,0.0007,0.0015,0.0007,1
80,-0.0015,-0.0015,0.0015,0.0007,1
81,-0.0015,0,0.003,0.0015,1
82,-0.0053,0.0007,0.0052,0.003,1
83,-0.0038,-0.0015,0.0075,0.0007,1
84,-0.0038,-0.0015,0.0082,0.0007,1
85,-0.0038,0,0.009,-0.0015,1
86,-0.0008,-0.0008,0.0007,-0.0015,1
87,0.0007,-0.0008,-0.0046,0.0015,1
88,0.0015,-0.0015,-0.0046,0,1
89,0.003,0.0007,-0.0091,-0.0008,1
90,0.0052,0.0022,-0.0113,-0.0015,1
91,0.0045,0.0022,-0.0105,-0.0015,1
92,0.0052,0.003,-0.0068,0.0007,1
93,0.003,0.0015,-0.003,0,1
94,0.0045,0.0015,0.0007,0.0007,1
95,0.003,0.0007,0.0015,0.0007,1
96,0.0007,0,0.0015,0.0007,1
97,0.0015,-0.0008,0.0022,0.0007,1
98,-0.0015,-0.0015,0.003,0.0007,1
99,-0.003,-0.0015,0.0045,0.0007,1
100,-0.003,-0.0023,0.0075,0.0015,1
101,-0.0038,-0.0015,0.0082,0.0007,1
102,-0.0015,-0.0015,0.0067,-0.0023,1
103,-0.0008,-0.0015,0.0045,-0.0015,1
104,0.0015,-0.0015,-0.0015,-0.0015,1
105,0.0015,0.0007,-0.0053,-0.0015,1
106,0.0007,0.0022,-0.0075,-0.0008,1
107,0.0022,0,-0.0105,-0.0038,1
108,0.003,0.0007,-0.0098,-0.003,1
109,0.0037,0,-0.0046,-0.0008,1
110,0.0007,-0.0008,0,0,1
111,0.0007,-0.0008,-0.0015,0.0007,1
112,0.0015,-0.0015,0.0015,0.0007,1
113,0.0007,-0.0015,0.0022,0.0007,1
114,-0.0008,-0.0015,-0.0008,0.0007,1
115,-0.0015,-0.0023,0.0007,0.0015,1
116,-0.0023,-0.003,0.0045,0.0007,1
