time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,label
51910,-0.00003,-0.0001,-0.00017,-0.00011,0.00003,0.00003,-0.00004,-0.00004,0
51911,-0.00003,-0.0001,-0.00017,-0.00011,0.00003,0.00003,-0.00004,-0.00004,0
51912,-0.00003,-0.0001,-0.00017,-0.00011,0.00003,0.00003,-0.00004,-0.00004,0
51913,-0.00003,-0.0001,-0.00017,-0.00011,0.00003,0.00003,-0.00004,-0.00004,0
51914,-0.00003,-0.0001,-0.00017,-0.00011,0.00003,0.00003,-0.00004,-0.00004,0
51915,-0.00003,-0.0001,-0.00017,-0.00011,0.00003,0.00003,-0.00004,-0.00004,0
51916,-0.00003,-0.0001,-0.00017,-0.00011,0.00003,0.00003,-0.00004,-0.00004,0
51917,-0.00003,-0.0001,-0.00017,-0.00011,0.00003,0.00003,-0.00004,-0.00004,0
51918,-0.00003,-0.0001,-0.00017,-0.00011,0.00003,0.00003,-0.00004,-0.00004,0
51919,-0.00003,-0.0001,-0.00017,-0.00011,0.00003,0.00003,-0.00004,-0.00004,0
51920,-0.00003,-0.0001,-0.00017,-0.00011,0.00003,0.00003,-0.00004,-0.00004,0
51921,-0.00003,-0.0001,-0.00017,-0.00011,0.00003,0.00003,-0.00004,-0.00004,0
51922,-0.00003,-0.0001,-0.00017,-0.00011,0.00003,0.00003,-0.00004,-0.00004,0
51923,-0.00003,-0.0001,-0.00017,-0.00011,0.00003,0.00003,-0.00004,-0.00004,0
51924,-0.00003,-0.0001,-0.00017,-0.00011,0.00003,0.00003,-0.00004,-0.00004,0
51925,-0.00003,-0.0001,-0.00017,-0.00011,0.00003,0.00003,-0.00004,-0.00004,0
51926,-0.00003,-0.0001,-0.00017,-0.00011,0.00003,0.00003,-0.00004,-0.00004,0
51927,-0.00003,-0.0001,-0.00017,-0.00011,0.00003,0.00003,-0.00004,-0.00004,0
51928,-0.00003,-0.0001,-0.00017,-0.00011,0.00003,0.00003,-0.00004,-0.00004,0
51929,-0.00003,-0.0001,-0.00017,-0.00011,0.00003,0.00003,-0.00004,-0.00004,0
51930,-0.00003,-0.0001,-0.00017,-0.00011,0.00003,0.00003,-0.00004,-0.00004,0
51931,-0.00003,-0.0001,-0.00017,-0.00011,0.00003,0.00003,-0.00004,-0.00004,0
51932,-0.00003,-0.0001,-0.00017,-0.00011,0.00003,0.00003,-0.00004,-0.00004,0
51933,0.00004,0.00004,0.00002,-0.00004,-0.00008,-0.00016,-0.00002,-0.00002,0
51934,0.00004,0.00004,0.00002,-0.00004,-0.00008,-0.00016,-0.00002,-0.00002,0
51935,0.00004,0.00004,0.00002,-0.00004,-0.00008,-0.00016,-0.00002,-0.00002,0
51936,0.00004,0.00004,0.00002,-0.00004,-0.00008,-0.00016,-0.00002,-0.00002,0
51939,0.00004,0.00004,0.00002,-0.00004,-0.00008,-0.00016,-0.00002,-0.00002,0
51940,0.00004,0.00004,0.00002,-0.00004,-0.00008,-0.00016,-0.00002,-0.00002,0
51941,0.00004,0.00004,0.00002,-0.00004,-0.00008,-0.00016,-0.00002,-0.00002,0
51942,0.00004,0.00004,0.00002,-0.00004,-0.00008,-0.00016,-0.00002,-0.00002,0
51943,0.00004,0.00004,0.00002,-0.00004,-0.00008,-0.00016,-0.00002,-0.00002,0
51944,0.00004,0.00004,0.00002,-0.00004,-0.00008,-0.00016,-0.00002,-0.00002,0
51945,0.00004,0.00004,0.00002,-0.00004,-0.00008,-0.00016,-0.00002,-0.00002,0
51946,0.00004,0.00004,0.00002,-0.00004,-0.00008,-0.00016,-0.00002,-0.00002,0
51947,0.00004,0.00004,0.00002,-0.00004,-0.00008,-0.00016,-0.00002,-0.00002,0
51948,0.00004,0.00004,0.00002,-0.00004,-0.00008,-0.00016,-0.00002,-0.00002,0
51949,0.00004,0.00004,0.00002,-0.00004,-0.00008,-0.00016,-0.00002,-0.00002,0
51950,0.00004,0.00004,0.00002,-0.00004,-0.00008,-0.00016,-0.00002,-0.00002,0
51951,0.00004,0.00004,0.00002,-0.00004,-0.00008,-0.00016,-0.00002,-0.00002,0
51952,0.00004,0.00004,0.00002,-0.00004,-0.00008,-0.00016,-0.00002,-0.00002,0
51953,0.00004,0.00004,0.00002,-0.00004,-0.00008,-0.00016,-0.00002,-0.00002,0
51954,0.00004,0.00004,0.00002,-0.00004,-0.00008,-0.00016,-0.00002,-0.00002,0
51955,0.00004,0.00004,0.00002,-0.00004,-0.00008,-0.00016,-0.00002,-0.00002,0
51956,0.00004,0.00004,0.00002,-0.00004,-0.00008,-0.00016,-0.00002,-0.00002,0
51957,0.00004,0.00004,0.00002,-0.00004,-0.00008,-0.00016,-0.00002,-0.00002,0
51958,-0.00003,-0.00003,-0.00003,-0.00002,-0.00002,-0.00009,0.00001,-0.00001,0
51959,-0.00007,-0.00009,-0.00002,-0.00007,-0.00004,-0.00013,-0.00011,-0.00007,0
51960,-0.00007,-0.00009,-0.00002,-0.00007,-0.00004,-0.00013,-0.00011,-0.00007,0
51961,-0.00007,-0.00009,-0.00002,-0.00007,-0.00004,-0.00013,-0.00011,-0.00007,0
51962,-0.00007,-0.00009,-0.00002,-0.00007,-0.00004,-0.00013,-0.00011,-0.00007,0
51963,-0.00007,-0.00009,-0.00002,-0.00007,-0.00004,-0.00013,-0.00011,-0.00007,0
51964,-0.00007,-0.00009,-0.00002,-0.00007,-0.00004,-0.00013,-0.00011,-0.00007,0
51965,-0.00007,-0.00009,-0.00002,-0.00007,-0.00004,-0.00013,-0.00011,-0.00007,0
51966,-0.00007,-0.00009,-0.00002,-0.00007,-0.00004,-0.00013,-0.00011,-0.00007,0
51967,-0.00007,-0.00009,-0.00002,-0.00007,-0.00004,-0.00013,-0.00011,-0.00007,0
51968,-0.00007,-0.00009,-0.00002,-0.00007,-0.00004,-0.00013,-0.00011,-0.00007,0
51969,-0.00007,-0.00009,-0.00002,-0.00007,-0.00004,-0.00013,-0.00011,-0.00007,0
51970,-0.00007,-0.00009,-0.00002,-0.00007,-0.00004,-0.00013,-0.00011,-0.00007,0
51971,-0.00007,-0.00009,-0.00002,-0.00007,-0.00004,-0.00013,-0.00011,-0.00007,0
51972,-0.00007,-0.00007,-0.00009,-0.0001,-0.00034,-0.00034,-0.0002,-0.0001,0
51973,-0.00002,-0.00001,-0.00013,-0.00016,-0.00007,0.0001,-0.00001,-0.00004,0
51974,-0.00002,-0.00001,-0.00013,-0.00016,-0.00007,0.0001,-0.00001,-0.00004,0
51975,-0.00005,-0.00004,-0.00009,-0.00012,0.00008,-0.00008,-0.00004,-0.00005,0
51976,-0.00005,-0.00004,-0.00009,-0.00012,0.00008,-0.00008,-0.00004,-0.00005,0
51977,-0.00005,-0.00004,-0.00009,-0.00012,0.00008,-0.00008,-0.00004,-0.00005,0
